"label","Hemi","Region","PGS","Estimate","Std_Error","t_value","P_Value","Significant_P_Value","Phenotype","Timepoint"
"rh_middletemporal","right","middle temporal","ADHD",-0.00385634025394255,0.00536217648166423,-0.719174437307158,0.472038741144339,"not sig","CT","T0"
"rh_middletemporal","right","middle temporal","ASD",0.00717139254300582,0.00533978431537126,1.34301164980803,0.179277802649774,"not sig","CT","T0"
"rh_middletemporal","right","middle temporal","BIP",-0.00360970128891058,0.00543292516595981,-0.664412112930855,0.506431407914111,"not sig","CT","T0"
"rh_middletemporal","right","middle temporal","MDD",-0.010823991928052,0.00535655029860035,-2.02070200496022,0.0433190006182124,"not sig","CT","T0"
"rh_middletemporal","right","middle temporal","SCZ",-0.00239037829089783,0.00539192257985577,-0.443325781387938,0.657533131392828,"not sig","CT","T0"
"rh_middletemporal","right","middle temporal","SUD",-0.013650332018681,0.00538195206878122,-2.53631616265438,0.0112073043415823,"not sig","CT","T0"
"rh_parahippocampal","right","parahippocampal","ADHD",0.00355745989014929,0.00555777970800371,0.640086523225494,0.522120969371136,"not sig","CT","T0"
"rh_parahippocampal","right","parahippocampal","ASD",0.00291172016778389,0.00553469443589844,0.526085080487598,0.598832769144695,"not sig","CT","T0"
"rh_parahippocampal","right","parahippocampal","BIP",0.00353633186077942,0.0056311038256374,0.627999761730399,0.530008613359882,"not sig","CT","T0"
"rh_parahippocampal","right","parahippocampal","MDD",-0.00217135135516301,0.00555228254580943,-0.391073641740698,0.695745427521391,"not sig","CT","T0"
"rh_parahippocampal","right","parahippocampal","SCZ",0.00889047650042858,0.0055883959790242,1.59088162932594,0.111646174432648,"not sig","CT","T0"
"rh_parahippocampal","right","parahippocampal","SUD",0.00261325444766341,0.00557881308586866,0.468424807829264,0.639484046908199,"not sig","CT","T0"
"rh_paracentral","right","paracentral","ADHD",0.00325524522716242,0.00497164136753093,0.65476268027335,0.512625305668936,"not sig","CT","T0"
"rh_paracentral","right","paracentral","ASD",0.0048394948960838,0.00495093928934426,0.977490252506162,0.328333949471415,"not sig","CT","T0"
"rh_paracentral","right","paracentral","BIP",-0.00542172398651653,0.00503717341522005,-1.07634253173308,0.281782272920739,"not sig","CT","T0"
"rh_paracentral","right","paracentral","MDD",-0.000558395020753846,0.00496673641193614,-0.112426948893825,0.91048559946714,"not sig","CT","T0"
"rh_paracentral","right","paracentral","SCZ",-0.00112752443868391,0.00499922551562035,-0.225539823150786,0.821560800694153,"not sig","CT","T0"
"rh_paracentral","right","paracentral","SUD",-0.0186441656759903,0.00498937811610187,-3.73677144568805,0.000186724672137079,"not sig","CT","T0"
"rh_parsopercularis","right","pars opercularis","ADHD",0.00650626471363774,0.00479124492044525,1.35794867965821,0.174489620080687,"not sig","CT","T0"
"rh_parsopercularis","right","pars opercularis","ASD",0.0160084449574538,0.00477062620875236,3.35562759624389,0.000792779033454763,"not sig","CT","T0"
"rh_parsopercularis","right","pars opercularis","BIP",-0.00241092590711138,0.00485457705332623,-0.496629444878103,0.619453823780768,"not sig","CT","T0"
